iteration,individual,obj_0
175,4,4.003875968992248
175,9,4.003875968992248
176,0,1.003875968992248
176,1,1.003875968992248
176,2,1.003875968992248
176,3,1.003875968992248
176,4,1.003875968992248
176,5,1.003875968992248
176,6,1.003875968992248
176,7,1.003875968992248
176,8,1.003875968992248
176,9,1.003875968992248
177,2,4.003875968992248
177,3,4.003875968992248
177,9,4.003875968992248
178,6,7.003875968992248
179,1,4.003875968992248
179,5,4.003875968992248
179,9,4.003875968992248
180,7,10.003875968992247
181,3,4.003875968992248
181,4,4.003875968992248
182,3,7.003875968992248
183,0,1.003875968992248
183,1,1.003875968992248
183,2,1.003875968992248
183,3,1.003875968992248
183,4,1.003875968992248
183,5,1.003875968992248
183,6,1.003875968992248
183,7,1.003875968992248
183,8,1.003875968992248
183,9,1.003875968992248
184,1,4.003875968992248
184,6,4.003875968992248
185,1,4.003875968992248
185,5,4.003875968992248
186,9,7.003875968992248
187,4,7.003875968992248
188,3,4.003875968992248
188,6,4.003875968992248
189,2,4.003875968992248
189,8,4.003875968992248
190,5,7.003875968992248
191,5,4.003875968992248
192,1,4.003875968992248
192,5,4.003875968992248
193,0,4.003875968992248
193,1,4.003875968992248
193,7,4.003875968992248
193,9,4.003875968992248
194,9,7.003875968992248
195,0,1.003875968992248
195,1,1.003875968992248
195,2,1.003875968992248
195,3,1.003875968992248
195,4,1.003875968992248
195,5,1.003875968992248
195,6,1.003875968992248
195,7,1.003875968992248
195,8,1.003875968992248
195,9,1.003875968992248
196,2,4.003875968992248
197,7,7.003875968992248
198,4,10.003875968992247
199,0,4.003875968992248
199,1,4.003875968992248
199,4,4.003875968992248
199,5,4.003875968992248
199,6,4.003875968992248
200,7,7.003875968992248
200,8,7.003875968992248
201,0,7.003875968992248
201,2,7.003875968992248
202,0,7.003875968992248
203,3,4.003875968992248
203,6,4.003875968992248
203,7,4.003875968992248
203,8,4.003875968992248
203,9,4.003875968992248
204,5,10.003875968992247
205,0,4.003875968992248
205,1,4.003875968992248
205,2,4.003875968992248
205,3,4.003875968992248
